fixture_name,partition,condition,solver,node_name,node_type,server_count,qlen,util,respt,residt,tput
A2_multiclassB_2refs_demands_3to1_N50,A2,f20off,LN,R1,RefTask,1,48.5936532923229,0.0,NaN,0.0,0.3334039990681378
A2_multiclassB_2refs_demands_3to1_N50,A2,f20off,LN,R2,RefTask,1,48.25316781861697,0.0,NaN,0.0,0.9907731552978257
A2_multiclassB_2refs_demands_3to1_N50,A2,f20off,LN,TS,Task,1,97.53809886043129,1.0000051724108645,NaN,73.18201482435586,1.3328151608633962
A2_multiclassB_2refs_demands_3to1_N50,A2,f20off,LN,ER1,Entry,1,48.5936532923229,NaN,145.75006127143607,NaN,0.3334039990681378
A2_multiclassB_2refs_demands_3to1_N50,A2,f20off,LN,ER2,Entry,1,48.25316781861697,NaN,48.70253857868414,NaN,0.9907731552978257
A2_multiclassB_2refs_demands_3to1_N50,A2,f20off,LN,ES1,Entry,1,49.00575650018492,NaN,146.90081007312952,NaN,0.3335975919791667
A2_multiclassB_2refs_demands_3to1_N50,A2,f20off,LN,ES2,Entry,1,48.532342360246375,NaN,48.570345309720416,NaN,0.9992175688842295
A2_multiclassB_2refs_demands_3to1_N50,A2,f20off,LN,A1,Activity,1,48.593653301477715,0.0,145.75006129889465,0.0,0.3334039990681379
A2_multiclassB_2refs_demands_3to1_N50,A2,f20off,LN,A2,Activity,1,48.25316783434548,0.0,48.702538594559115,0.0,0.9907731552978261
A2_multiclassB_2refs_demands_3to1_N50,A2,f20off,LN,AS1,Activity,1,48.70551504894426,0.50039638796875,146.00079922635035,36.76860673496469,0.33359759197916666
A2_multiclassB_2refs_demands_3to1_N50,A2,f20off,LN,AS2,Activity,1,48.62885455270274,0.49960878444211454,48.66693307545012,36.41340808939116,0.9992175688842291
A2_multiclassB_2refs_demands_5to1_N50,A2,f20off,LN,PR,Processor,1,NaN,0.0,NaN,NaN,NaN
A2_multiclassB_2refs_demands_5to1_N50,A2,f20off,LN,PS,Processor,1,NaN,1.0000046490687033,NaN,NaN,NaN
A2_multiclassB_2refs_demands_5to1_N50,A2,f20off,LN,R1,RefTask,1,48.36737323234212,0.0,NaN,0.0,0.2006548725515221
A2_multiclassB_2refs_demands_5to1_N50,A2,f20off,LN,R2,RefTask,1,48.27005583121523,0.0,NaN,0.0,0.9864929094621451
A2_multiclassB_2refs_demands_5to1_N50,A2,f20off,LN,TS,Task,1,97.67675167256468,1.0000046490687033,NaN,81.81274816599496,1.1939062537586715
A2_multiclassB_2refs_demands_5to1_N50,A2,f20off,LN,ER1,Entry,1,48.36737323234212,NaN,241.0475889137596,NaN,0.2006548725515221
A2_multiclassB_2refs_demands_5to1_N50,A2,f20off,LN,ER2,Entry,1,48.27005583121523,NaN,48.930970885064944,NaN,0.9864929094621451
A2_multiclassB_2refs_demands_5to1_N50,A2,f20off,LN,ES1,Entry,1,49.257842508645,NaN,244.4245452347006,NaN,0.2015257610946838
A2_multiclassB_2refs_demands_5to1_N50,A2,f20off,LN,ES2,Entry,1,48.41890916391967,NaN,48.790670032158665,NaN,0.9923804926639876
A2_multiclassB_2refs_demands_5to1_N50,A2,f20off,LN,A1,Activity,1,48.36737324016946,0.0,241.04758895276845,0.0,0.20065487255152217
